COD_UF;COD_MUNICIPIO;COD_DISTRITO;SITUACAO;NOM_TIPO_SEGLOGR;NOM_TITULO_SEGLOGR;NOM_SEGLOGR;NUM_ENDERECO;DSC_LOCALIDADE;CEP
35;9502;5;2;RUA;DOUTOR;ADHEMAR BARROS KM 123 PONTE AL;;COLONIA TOZAN;13012100
35;9502;5;2;RUA;DOUTOR;ADHEMAR BARROS KM 123 PONTE AL;123.0;COLONIA TOZAN;13012100
35;9502;5;2;RUA;DOUTOR;PROF EMILIO COELHO;;COLONIA TOZAN;13100900
35;9502;5;2;RUA;DOUTOR;PROF EMILIO COELHO;;COLONIA TOZAN;13085702
35;9502;5;2;ESTRADA;;DA SERVIDAO;;BAIRRO HELVETIA;13052970
35;9502;5;2;ESTRADA;;MUNICIPAL CAMPINAS A INDAIATUB;;VISTA ALEGRE;13337315
35;9502;5;2;RUA;;DOS PINHEIROS;54.0;RECREIO CAMPESTRE DE VIRACOPOS 6;13055609
35;9502;5;2;RUA;;LAVIERI PEREIRA DA SILVA;;JARDIM SANTA MARIA 1;13055609
35;9502;5;2;RUA;;LAVIERI PEREIRA DA SILVA;;JARDIM SANTA MARIA;13055609
35;9502;5;2;RUA;;LAVIERI PEREIRA DA SILVA;32.0;JARDIM SANTA MARIA 1;13055609
35;9502;5;2;RUA;;LAVIERI PEREIRA DA SILVA;186.0;JARDIM SANTA MARIA 1;13055609
35;9502;5;2;RUA;;LAVIERI PEREIRA DA SILVA;;JARDIM SANTA MARIA;13055609
35;9502;5;2;RUA;;LAVIERI PEREIRA DA SILVA;;PARQUE DE VIRACOPOS;13010003
35;9502;5;2;RUA;;LAVIERI PEREIRA DA SILVA;186.0;JARDIM SANTA MARIA 1;13055609
35;9502;5;2;RUA;;LAVIERI PEREIRA DA SILVA;1305.0;JARDIM SANTA MARIA 2;13055609
35;9502;5;2;RODOVIA;;SANTOS DUMONT;;BAIRRO HALVETTI;13052970
35;9502;5;2;RODOVIA;;SANTOS DUMONT;;BAIRRO HELVETIA;13052970
35;9502;5;2;RODOVIA;;SANTOS DUMONT;63.0;JARDIM SANTA MARIA;13052970
35;9502;5;2;RUA;;A;250.0;BAIRRO HELVETIA;13052970
35;9502;5;2;RUA;;CAMINHO DA SERVIDAO;79.0;RECREIO CAMPESTRE DE VIRACOPOS 6;13055609
35;9502;5;2;ALAMEDA;;ANTONIO AMBIEL;6224.0;BAIRRO HELVETIA;13337315
35;9502;5;2;ALAMEDA;;ANTONIO AMBIEL;6224.0;BAIRRO HELVETIA;13337315
35;9502;5;2;CAMINHO;;SEM DENOMINACAO;;JARDIM SANTA MARIA 1;13055609
35;9502;5;2;FAZENDA;;LAGOA FORMOSA;;CARLOS GOMES;13010000
35;9502;5;2;FAZENDA;;LAGOA FORMOSA;;CARLOS GOMES;13010000
35;9502;5;2;RUA;;AUGUSTO FERREIRA LARA;65.0;GARGANTILHA;13010000
35;9502;5;2;RUA;;REPUBLICA DA ARMENIA;2474.0;GARGANTILHA;13098000
35;9502;5;2;ESTRADA;;DO SERVIDAO;;CARLOS GOMES;13099103
35;9502;5;2;ESTRADA;;DO SERVIDAO;;CARLOS GOMES;13099103
35;9502;5;2;ESTRADA;;SEM DENOMINACAO;;GARGANTILHA;13099103
35;9502;5;2;ESTRADA;;TANQUINHO;;CARLOS GOMES;13099103
35;9502;5;2;RUA;;ANTONIO IGNACIO PUPO;1500.0;JARDIM MONTE BELO;13099103
35;9502;5;2;RODOVIA;DOUTOR;ADHEMAR DE BARROS;118.0;ANHUMAS;13092620
35;9502;10;2;RODOVIA;;ZEFERINO VAZ;114.0;MATA SANTA GENBRA;13010000
35;9502;10;2;RODOVIA;DOM;PEDRO 1;138.0;JARDIM SANTA GENEBRA;13080010
35;9502;10;2;AVENIDA;;GUILHERME CAMPOS;;JARDIM SANTA GENEBRA;13086090
35;9502;5;2;ESTRADA;;DO FOGUETEIRO;;JARDIM CALIFORNIA;13052970
35;9502;5;2;RUA;;JOAO BERTAZZOLI FILHO;32.0;JARDIM NOVO ITAGUACU;13055512
35;9502;5;2;RUA;;RUBENS CONTADOR;;JARDIM NOVO ITAGUACU;13055508
35;9502;15;2;ESTRADA;;CAM 123;;JOQUIM EGIDIO;13010003
35;9502;15;2;ESTRADA;;DA USINA SALTO GRANDE;;JOAQUIM EGIDIO;13010002
35;9502;15;2;ESTRADA;;DA USINA SALTO GRANDE;;JOAQUIM EGIDIO;13010002
35;9502;15;2;RODOVIA;;JOSE BONLFACIO COUTINHO NOGUEI;;S0USAS;13108273
35;9502;15;2;RUA;;GOMES BALSAS;999.0;JOAQUIM EGIDIO;13108049
35;9502;15;2;RUA;;GOMES BALSAS;999.0;JOAQUIM EGIDIO;13108049
35;9502;15;2;RUA;DONA;ISABEL FRAGOSO FERRAO;700.0;JOAQUIM EGIDIO;13108049
35;9502;15;2;RODOVIA;DOM;PEDRO I KM 118;;BAIRRO DOS LOPES;13010903
35;9502;25;2;RUA;;LUIZ CORAZOLLA;;JARDIM CONCEICAO;13010000
35;9502;25;2;ESTRADA;;SOUSAS PEDREIRA;;SOUSAS;13010000
35;9502;25;2;ESTRADA;;SOUSAS PEDREIRA;;CAMPINAS RURAL;13010000
35;9502;25;2;ESTRADA;DOUTOR;LACERDA;;SOUSAS;13010000
35;9502;25;2;ESTRADA;DOUTOR;LACERDA;;SOUSAS;13010071
35;9502;5;2;AVENIDA;;LIX DA CUNHA;;CIDADE DOS MENINOS;13010002
35;9502;5;2;RUA;;MARIA MERCEDES ETTER VON ZUBEN;;TAPERA;13010000
35;9502;5;2;RUA;;MARIA MERCEDES ETTER VON ZUBEN;;ITAPERA;13040735
35;9502;5;2;RUA;;MARIA MERCEDES ETTER VON ZUBEN;;ITAPERA;13040735
35;9502;5;2;RUA;;MARIA MERCEDES ETTER VON ZUBEN;5.0;ANTONIO VON ZUBEN;13044503
35;9502;5;2;RUA;;MARIA MERCEDES ETTER VON ZUBEN;;ANTONIO VON ZUBEN;13044503
35;9502;5;2;RUA;;MARIA MERCEDES ETTER VON ZUBEN;;CAMPINAS RURAL;13010000
35;9502;5;2;RUA;;MARIA MERCEDES ETTER VON ZUBEN;;CAMPINAS RURAL;13010000
35;9502;5;2;RUA;;MARIA MERCEDES ETTER VON ZUBEN;;CAMPINAS RURAL;13010000
35;9502;5;2;RUA;;MARIA MERCEDES ETTER VON ZUBEN;;CAMPINAS RURAL;13010000
35;9502;5;2;ESTRADA;;ESTRADA MUNICIPAL DO CAMPO GRA;27.0;BAIRRO DO CAMPO GRANDE;13058009
35;9502;5;2;PROLONGAMENTO;;DA RUA OITO DA CRUZEIRO;;JARDIM SANTA ROSA;13058009
35;9502;5;2;ESTRADA;;DO CAMPO GRANDE;2000.0;CAMPO GRANDE;13010010
35;9502;5;2;ESTRADA;;SERVIDAO G;53.0;NUCLEO SANTA ISABEL;13185000
35;9502;5;2;ESTRADA;;SERVIDAO G;;NUCLEO SANTA ISABEL;13185000
35;9502;5;2;ESTRADA;;ANHUMAS;;BAIRRO ANHUMAS;13010001
35;9502;5;2;ESTRADA;;PARA FAZENDA SAO VICENTE;;PESQUEIRO SAO FRANCISCO;13105000
35;9502;5;2;ESTRADA;;SAO VICENTE;;PARQUE ANHUMAS;13098319
35;9502;5;2;ESTRADA;;SAO VICENTE;;PARQUE ANHUMAS;13098319
